,title,directors,year,genre,runtime,theater,screen_date,screen_times,wiki_id,revenue,revenue_processed,cpi
29,Candyman,Bernard Rose,1992,Drama,0 days 01:40:00,The Brattle,6/4/24,4:45 PM,https://en.wikipedia.org/wiki/Candyman_(1992_film),$25.8 million (US)[2],25.8,140.3083333
30,Poison,Todd Haynes,1991,Horror,0 days 01:25:00,Coolidge Corner Theatre,6/4/24,7:00 PM,https://en.wikipedia.org/wiki/Poison_(1991_film),"$787,280[3]",0.78728,136.1666667
31,Get Out,Jordan Peele,2017,Mystery,0 days 01:44:00,The Brattle,6/4/24,7:00 PM,https://en.wikipedia.org/wiki/Get_Out,$255.4 million[1],255.4,245.121
32,Get Out,Jordan Peele,2017,Mystery,0 days 01:44:00,The Brattle,6/5/24,4:45 PM,https://en.wikipedia.org/wiki/Get_Out,$255.4 million[1],255.4,245.121
33,Rosemary's Baby,Roman Polanski,1968,Drama,0 days 02:18:00,The Brattle,6/5/24,7:00 PM,https://en.wikipedia.org/wiki/Rosemary's_Baby_(film),$33.4 million[2],33.4,34.79166667
34,Wayne's World,Penelope Spheeris,1992,Comedy,0 days 01:35:00,The Speedway,6/5/24,8:00 PM,https://en.wikipedia.org/wiki/Wayne's_World_(film),$183.1 million[1],183.1,140.3083333
35,Purple Rain,Albert Magnoli,1984,Drama,0 days 01:51:00,The Brattle,6/6/24,6:30 PM,https://en.wikipedia.org/wiki/Purple_Rain_(film),$70.3 million[4],70.3,103.9333333
36,Past Lives,Celine Song,2023,Drama,0 days 01:46:00,Museum of Fine Arts,6/6/24,7:00 PM,https://en.wikipedia.org/wiki/Past_Lives_(film),$42.5 million[4],42.5,304.70075
37,School Daze,Spike Lee,1988,Comedy,0 days 02:01:00,Museum of Fine Arts,6/7/24,7:00 PM,https://en.wikipedia.org/wiki/School_Daze,"$14,545,844[1]",0.145458,118.275
38,Teenage Mutant Ninja Turtles,Steve Barron,1990,SciFi,0 days 01:33:00,Coolidge Corner Theatre,6/7/24,11:59 PM,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(1990_film),$202 million[3][4],202,130.6583333
39,Road to Boston,Kang Je-kyu,2023,Drama,0 days 01:53:00,Museum of Fine Arts,6/8/24,2:30 PM,https://en.wikipedia.org/wiki/Road_to_Boston,US$7.2 million[4],7.2,304.70075
40,Dick Tracy,Warren Beatty,1990,Adventure,0 days 01:45:00,Coolidge Corner Theatre,6/8/24,11:59 PM,https://en.wikipedia.org/wiki/Dick_Tracy_(1990_film),$162.7 million[3],162.7,130.6583333
