,title,directors,year,genre,runtime,theater,screen_date,screen_times,wiki_id,revenue,revenue_processed,cpi
231,How to Marry a Millionaire,Jean Negulesco,1953,Comedy,0 days 01:35:00,The Brattle,9/15/24,4:45 PM,https://en.wikipedia.org/wiki/How_to_Marry_a_Millionaire,$8 million[2],8,26.76833333
232,Alice in Wonderland,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",1951,Animation,0 days 01:15:00,Harvard Film Archive,9/15/24,3:00 PM,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(1951_film),"$2.4 million (1951, domestic)
$3.5 million (1974, domestic)",2.4,25.97333333
233,Lawrence of Arabia,David Lean,1962,Adventure,0 days 03:48:00,Coolidge Corner Theatre,9/15/24,2:00 PM,https://en.wikipedia.org/wiki/Lawrence_of_Arabia_(film),$70 million[5],70,30.25333333
234,Key Largo,John Huston,1948,Crime,0 days 01:40:00,The Brattle,9/15/24,12:00 PM,https://en.wikipedia.org/wiki/Key_Largo_(film),$3.3 million (US/Canada rentals)[2]$4.4 million (worldwide)[1],3.3,24.045
235,Written on the Wind,Douglas Sirk,1956,Drama,0 days 01:39:00,The Brattle,9/15/24,2:30 PM,https://en.wikipedia.org/wiki/Written_on_the_Wind,$4.3 million (North America rentals)[4],4.3,27.19083333
236,The Straight Story,David Lynch,1999,Drama,0 days 01:52:00,Coolidge Corner Theatre,9/16/24,7:00 PM,https://en.wikipedia.org/wiki/The_Straight_Story,$6.2 million (United States)[3],6.2,166.5833333
237,Wheel of Fortune and Fantasy,Ryūsuke Hamaguchi,2021,Drama,0 days 02:01:00,Harvard Film Archive,9/16/24,7:00 PM,https://en.wikipedia.org/wiki/Wheel_of_Fortune_and_Fantasy,"$471,339[8]",0.471339,270.9658333
238,Harper,Jack Smight,1966,Mystery,0 days 02:01:00,The Brattle,9/16/24,8:00 PM,https://en.wikipedia.org/wiki/Harper_(film),$12 million[1],12,32.47083333
239,Vertigo,Alfred Hitchcock,1958,Mystery,0 days 02:09:00,Coolidge Corner Theatre,9/17/24,7:30 PM,https://en.wikipedia.org/wiki/Vertigo_(film),$7.3 million[4],7.3,28.88083333
240,Murder on the Orient Express,Sidney Lumet,1974,Drama,0 days 02:08:00,The Brattle,9/17/24,8:00 PM,https://en.wikipedia.org/wiki/Murder_on_the_Orient_Express_(1974_film),$37.7 million[4],37.7,49.31666667
241,Harper,Jack Smight,1966,Mystery,0 days 02:01:00,The Brattle,9/18/24,8:00 PM,https://en.wikipedia.org/wiki/Harper_(film),$12 million[1],12,32.47083333
242,Once Upon a Time... in Hollywood,Quentin Tarantino,2019,Comedy,0 days 02:42:00,Coolidge Corner Theatre,9/18/24,7:30 PM,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood,$377.6 million[4],377.6,255.6525833
243,But I'm a Cheerleader,Jamie Babbit,2000,Comedy,0 days 01:25:00,Coolidge Corner Theatre,9/19/24,9:55 PM,https://en.wikipedia.org/wiki/But_I'm_a_Cheerleader,$2.6 million[1],2.6,172.1916667
244,Grease,Randal Kleiser,1978,Romance,0 days 01:50:00,Coolidge Corner Theatre,9/19/24,7:00 PM,https://en.wikipedia.org/wiki/Grease_(film),$396.3 million[2],396.3,65.24166667
